Combined Authority Mayoral 2017,Combined Authority Mayoral 2017 - Local authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,ADDITIONAL,,,,,,,,,,,,,,,,,,,,,,,
,,A. Issue of postal ballot papers,,,,,B (1). Receipt of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers – Personal Identifiers,,,C. Count of postal ballot papers,,Proxies and waivers,,,PV rejection,,,,,,,,Misc.,,,Registrations,,,,,,,,,
Combined Authority,Local Authority,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned as undelivered (up to 25th after date of Poll,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned,Postal voting statement unreturned,What was the total number of polling stations used?,No. of covering envelopes returned on polling day before 10pm,No. of covering envelopes returned on the day AFTER polling day before 10pm,Total number of new electors added 01/12/16 - 04/04/17,Total number of new electors added to the register via the second and final notices of alteration (26.04.17).,No. of applications to register after registration deadline,Total No. of applications between 22/11/16 - 24/03/17,Total No. of DUPLICATE applications between 22/11/15 - 24/03/17,Total No. of applications between 25/03/17 - 13/04/17,Total No. of DUPLICATE applications between 25/03/17 - 13/04/17,No. of people who tried to vote on polling day - not registered,,
Cambridgeshire and Peterborough,Cambridge,"12,237",17,0,"12,254",0,"8,368",97,3,14,0,0,135,"3,637","12,254","8,368",106,52,"8,210",158,174,3,30,28,14,64,13,32,8,3,13,49,"8,696",15,"3,830","1,377","4,479","2,952",160,"1,744",75,5,,
Cambridgeshire and Peterborough,East Cambridgeshire,"6,612",5,1,"6,618",54,"4,519",36,0,1,5,0,26,"2,031","6,618","4,519",14,53,"4,387",66,83,3,93,5,6,3,27,22,4,112,20,69,372,36,568,387,1014,1044,174,535,131,4,,
Cambridgeshire and Peterborough,Fenland,"11,772",5,0,"11,777",18,"7,665",87,0,5,0,0,22,"3,980","11,777","7,665",58,81,"7,533",132,123,0,51,13,5,33,24,48,9,242,3,57,442,15,"1,276",459,686,1173,121,459,62,2,,
Cambridgeshire and Peterborough,Huntingdonshire,"16,669",25,0,"16,694",3,"10,764",125,0,22,0,0,48,"5,735","16,694","10,764",8,109,"10,312",117,127,2,83,2,4,2,32,68,9,0,0,117,375,97,2919,1135,2482,4819,1522,1799,545,2,,
Cambridgeshire and Peterborough,South Cambridgeshire,"1,038",5,0,"1,043",0,715,5,3,2,0,0,2,316,"1,043",715,1,8,698,9,165,6,74,1,0,2,57,52,14,11,73,121,1338,42,2265,992,2757,3991,1205,1239,382,5,,
Cambridgeshire and Peterborough,Peterborough,"22,715",31,0,"22,746",18,"12,793",360,2,11,0,0,138,"9,442","22,746","12,793",127,337,"12,237",556,72,1,104,28,57,42,210,101,26,0,0,93,453,52,2428,2419,2657,3865,943,3087,737,,,
Greater Manchester,Bolton,"39,712",39,0,"39,751",0,"23,839",18,15,24,0,0,47,"15,808","39,751","23,839",225,125,"23,489",350,152,2,575,102,3,120,76,16,33,121,68,129,1143,15,5085,2005,624,5438,1884,1203,416,8,,
Greater Manchester,Bury,"31,186",46,0,"31,232",23,"17,007",6,0,23,0,0,14,"14,136","31,186","18,025",154,67,"18,115",342,128,17,123,48,106,79,10,26,31,39,70,110,1167,0,2714,1018,2259,4459,1094,1309,319,0,,
Greater Manchester,Manchester,"57,973",74,500,"58,547",24,"33,904",553,1,49,0,0,347,"23,693","58,547","33,904",269,"1,991","31,644","2,260",228,4,279,151,14,104,915,857,219,42,37,233,6411,119,9972,5840,13208,17385,5132,6833,1882,101,,
Greater Manchester,Oldham,"22,845",28,0,"22,873",9,"12,811",69,6,13,0,0,38,"9,936","22,873",0,47,403,"12,209",602,93,21,75,26,0,21,103,238,62,0,0,121,572,19,4516,948,2156,7377,1903,1306,349,11,,
Greater Manchester,Rochdale,"23,456",21,0,"23,477",54,"13,884",175,15,6,0,0,5,"9,392","23,477","13,884",102,462,"13,242",642,124,2,84,43,5,54,122,302,38,26,52,114,1726,63,4558,923,965,4238,,603,,17,,
Greater Manchester,Salford,"37,131",107,0,"37,238",0,"20,471",249,31,76,0,0,24,"16,767","37,238","20,260",86,71,"20,260",14,150,8,297,46,1,39,14,54,3,51,26,141,2107,18,5505,1871,2078,5078,545,953,53,4,,
Greater Manchester,Stockport,"41,162",42,0,"41,204",13,"24,825",156,13,16,0,0,0,"16,194",,"24,696",168,444,"24,094",612,197,0,240,69,4,95,50,352,42,0,0,162,3030,156,6395,1517,3720,11628,3960,2232,720,0,,
Greater Manchester,Tameside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Manchester,Trafford,"45,870",75,0,"45,923",22,"29,152",359,22,31,0,0,161,"16,198","45,923","29,152",229,888,"27,406","1,237",184,5,388,87,8,134,321,504,63,64,56,129,29152,28,5659,1460,3444,8910,2633,1802,462,,,
Greater Manchester,Wigan,"44,778",42,0,"44,820",9,"26,268",246,12,21,0,3,51,"18,219","44,820","26,268",386,"1,174","25,080","1,560",118,2,149,103,127,91,491,178,164,31,20,163,207,51,5153,2391,3370,8580,2348,3667,1142,7,,
Liverpool City,Knowsley,"17,814",37,0,"17,851",6,"10,346",287,2,29,0,0,3,"7,184","17,851","10,256",109,153,"9,994",74,27,0,53,46,32,31,72,60,21,82,8,62,515,76,1021,795,1781,2275,444,1169,330,8,,
Liverpool City,Liverpool,"45,427",53,0,"45,480",19,"28,310",141,5,28,0,0,22,"16,974","45,480","28,310",260,315,"27,735",575,144,2,167,150,11,99,37,223,55,38,334,196,2773,4,6253,3870,9632,9847,2446,4819,1388,0,,
Liverpool City,Sefton,"33,543",49,0,"33,592",64,"18,044",161,2,47,0,0,256,"15,082","33,592","18,044",,526,"18,056",526,63,35,105,,,,240,216,70,,,132,,6,2482,1694,4434,3225,891,2328,644,94,,
Liverpool City,St. Helens,"28,045",16,0,"28,061",3,"15,536",153,7,5,1,0,43,"12,316","28,061","16,155",145,138,"15,754",305,39,1,85,66,42,37,19,80,29,11,11,88,602,6,4220,1095,1924,6768,1989,1649,438,12,,
Liverpool City,Wirral,"41,944",28,0,"41,972",258,"24,393",309,0,28,0,0,106,"17,136","41,972","24,393",225,194,"23,533",447,189,2,314,104,48,73,47,112,35,2,26,103,2047,20,3512,2382,4932,4944,1349,2774,559,0,,
Liverpool City,Halton,"8,524",10,0,"8,534",40,"4,794",87,0,5,4,0,2,0,"4,892","4,659",47,46,"4,659",97,104,0,102,0,4,43,18,27,5,35,8,76,4659,82,1592,859,1413,2287,381,1060,168,0,,
Tees Valley,Darlington,"15,355",16,0,"15,371",8,"8,478",82,1,7,0,0,23,"6,764","15,355","8,478",22,108,"8,344",143,42,0,50,5,2,15,28,43,37,1,12,52,524,53,2861,746,1427,3931,997,1017,295,3,,
Tees Valley,Hartlepool,"10,757",20,0,"10,777",14,"5,828",5,1,5,0,0,5,"4,933","10,777","5,806",0,149,"5,657",171,33,0,133,4,2,33,26,10,,7,22,57,427,2,3050,550,871,4005,576,657,129,2,,
Tees Valley,Middlesbrough,"12,856",33,0,"12,889",13,"6,917",0,9,11,0,0,0,"5,952","12,889","6,917",71,169,"6,677",240,54,0,86,15,11,45,100,40,29,0,22,70,55,57,1788,526,1283,2844,651,558,115,0,,
Tees Valley,Redcar and Cleveland,"16,448",9,0,"16,457",11,"9,439",14,5,4,0,0,14,"6,981","16,457","9,439",80,97,"9,237",196,58,0,80,14,6,60,2,67,28,0,12,79,624,10,2241,788,1305,3353,700,1032,262,12,,
Tees Valley,Stockton-on-Tees,"34,256",37,17,"34,310",19,"19,054",263,1,17,17,0,44,"14,914","34,310","19,054",130,236,"18,658",365,176,4,111,27,12,91,46,113,77,5,39,100,586,162,5037,787,2188,8478,2424,1124,375,31,,
West Midlands,Birmingham,"74,640",66,0,"74,706",1,"46,598","1,127",10,55,0,0,523,"26,393","74,706","46,052",370,687,"44,870","1,352",376,14,767,98,42,215,192,314,149,206,136,460,4303,920,23276,4969,10684,32804,3077,5934,1986,,,
West Midlands,Coventry,"25,609",43,0,"25,652",28,"15,714",329,20,23,0,0,88,"9,478","25,652","15,714",91,216,"15,267",492,108,1,136,31,36,24,83,114,19,2,183,137,1012,297,7120,3235,5036,11608,3523,4502,1210,0,,
West Midlands,Dudley,"31,857",11,0,"31,868",34,"20,012",163,2,9,0,0,95,"11,587","31,868","19,996",121,155,"19,723",276,136,0,165,19,38,64,66,63,26,0,0,189,795,109,3457,1943,2730,5472,1364,2803,759,,,
West Midlands,Sandwell,"23,244",33,0,"23,277",0,"14,854",6,0,33,0,0,23,"8,361","23,277","14,854",74,366,"13,893",440,141,26,196,18,16,34,117,130,39,46,28,159,417,23,7391,2048,1719,6708,3790,1551,450,17,,
West Midlands,Solihull,"25,275",31,148,"25,454",26,"16,851","16,851",0,5,0,0,1,"7,495","41,203","16,851",38,162,"16,851",195,200,4,102,10,12,16,26,107,29,0,0,92,,,3173,1115,2664,5258,1663,1213,321,,,
West Midlands,Walsall,"24,258",11,0,"24,269",0,"15,115",246,2,9,0,0,56,"9,201","24,629","15,115",70,232,"14,768",347,103,0,149,16,33,21,95,98,39,36,9,132,15115,49,8254,1281,1817,165,3,61,0,0,,
West Midlands,Wolverhampton,"20,465",61,0,"20,465",5,"12,360",306,1,55,0,0,89,"7,654","20,465",0,124,244,"12,316",368,100,0,140,19,31,74,111,96,37,0,0,130,698,183,5535,1391,2414,9745,2545,2074,585,,,
West of England,Bath and North East Somerset,"23,921",21,0,"23,942",0,"13,167",123,3,18,0,0,75,"10,556","23,942","13,510",189,110,"13,167",343,198,4,119,70,38,81,70,32,4,26,18,115,527,45,6324,998,,,,,,,,
West of England,South Gloucestershire,"38,550",35,0,"38,585",26,"21,407",274,7,28,0,0,187,"16,647","38,585","21,407",30,317,"20,786",555,167,0,165,3,1,27,125,141,51,100,107,143,2366,38,5480,1950,5056,9021,2585,2319,844,5**,,
West of England,Bristol,"50,023",92,0,"50,115",32,"26,505",318,10,50,0,1,166,"22,973","50,023","26,505",107,271,"25,593",912,417,10,137,29,28,50,150,99,22,153,159,231,2904,182,10707,4816,16276,17010,5437,4745,1170,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
